Symbol,UniprotID,UniprotName,EnsemblID_gene_,EnsemblID_transcript_,EnsemblID_protein_,EntrezID,Name,ShortName,WT_0,WT_0,WT_0,WT_0,WT_0,WT_2,WT_2,WT_2,WT_2,WT_2,WT_4,WT_4,WT_4,WT_4,WT_4,WT_6,WT_6,WT_6,WT_6,WT_6,WT_8,WT_8,WT_8,WT_8,WT_8,WT_12,WT_12,WT_12,WT_12,WT_12,WT_16,WT_16,WT_16,WT_16,WT_16,WT_24,WT_24,WT_24,WT_24,WT_24,ob/ob_0,ob/ob_0,ob/ob_0,ob/ob_0,ob/ob_0,ob/ob_2,ob/ob_2,ob/ob_2,ob/ob_2,ob/ob_2,ob/ob_4,ob/ob_4,ob/ob_4,ob/ob_4,ob/ob_4,ob/ob_6,ob/ob_6,ob/ob_6,ob/ob_6,ob/ob_6,ob/ob_8,ob/ob_8,ob/ob_8,ob/ob_8,ob/ob_8,ob/ob_12,ob/ob_12,ob/ob_12,ob/ob_12,ob/ob_12,ob/ob_16,ob/ob_16,ob/ob_16,ob/ob_16,ob/ob_16,ob/ob_24,ob/ob_24,ob/ob_24,ob/ob_24,ob/ob_24
Clpx,Q9JHS4,CLPX_MOUSE,ENSMUSG00000015357,ENSMUST00000015501,ENSMUSP00000015501,270166,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",Clpx,0.826430919740568,0.953314509422472,0.90884229491339,0.8464640514781,0.72194996484371,0.924346990420354,0.888470970111076,0.895644854188872,0.960391134196931,0.966105333462058,0.710261045485232,0.88921387943241,0.751269678368353,0.964230747120736,1.09781634118802,0.792667495821033,0.893132190183934,1.52969161540496,1.37061640847292,1.09900429941254,0.879094410961439,0.930593036245544,0.974085778445684,0.965843723443522,0.937143563296734,1.07345874661446,1.20813544483465,1.14981225619733,0.740483255701727,0.960413723960704,1.31900820484755,1.08654088977824,1.05663623312461,1.74095683301126,1.22602742383138,1.00832493369602,1.14215045430789,1.2314713893665,1.48944086602589,1.00374189988827,0.940047595680827,0.882165863771111,0.956098250144491,0.848337002599803,0.94814459131142,0.885343894915128,1.05113510843544,0.999805080706929,0.935394963640948,1.00977789133347,1.0280898613025,1.00561140888233,0.991052638802973,0.855921155062965,0.843381220662981,0.984163085187289,0.914070100794401,1.44081413354801,1.36290125152201,1.16128768242629,0.878092589909802,0.993896678838861,1.02008062299419,1.46928458336133,0.910158117823336,1.22989281486499,1.00769681853615,0.792592735807466,1.13406379531613,0.557742251513613,0.941304507819834,1.18635358215552,1.08624768752907,1.33355113843214,0.989077737005383,1.22662963999628,1.19502207297731,1.10363514218752,1.10960337355494,1.05611222395829
Gfm1,Q8K0D5,EFGM_MOUSE,ENSMUSG00000027774,ENSMUST00000077271,ENSMUSP00000076503,28030,"Elongation factor G, mitochondrial",Gfm1;Efg1;Gfm;Efg,1.18152007523044,1.14464826508694,0.944450016132795,0.986505854319779,0.856766252758562,1.10081937182149,0.893722634369488,0.965035534810447,0.981520633634825,1.1039046893285,0.96057083536676,0.950356033433851,1.03916554142149,0.528475719260018,0.858124362257623,1.04285015535396,1.37031321205651,NaN,1.05583236949819,1.06595114599309,0.839903008758426,1.01905745857714,1.10287279383035,0.779797402514442,0.756110229966966,1.03776469358233,1.11319299655114,1.05624774626465,0.87484322249923,0.961095913321111,0.884454189693953,0.8467010917735,0.896208198812327,0.939050743669384,0.815504319509467,0.79009667023707,0.98261517598251,0.854057501589257,0.841163398020546,0.864536657668461,0.841903939530106,1.38454074335856,1.28814684443858,1.00783392793054,1.05275224501121,1.23851563617264,1.25016160941741,1.17165508327641,0.996721526270112,1.02942135000577,1.03860985570104,1.08637057709583,1.16752955926342,0.91005003123806,0.809823449612495,0.86816770376512,1.0286992765153,1.03302750285883,NaN,0.986366589483822,0.872701353543595,1.0467421165993,1.06584963331621,0.83978154684965,0.828509968823462,0.799053484645051,1.05534322687033,0.854489429205237,1.14734418362813,0.952368947367042,1.01153551576052,0.807205498912269,0.930027757277479,0.738644272845777,0.933453592485311,0.921665026755392,0.91858017880356,0.616881835130895,0.78015080747164,0.968567456414214
Fh1,P97807,FUMH_MOUSE,ENSMUSG00000026526,ENSMUST00000027810,ENSMUSP00000027810,14194,"Fumarate hydratase, mitochondrial",Fh;Cytoplasmic;Mitochondrial;Fh1,0.839702026855022,1.00413465412357,0.947684824643918,0.921748554300356,0.931338737721129,1.08264727370874,0.848100631664605,1.02679683705695,0.913620508258838,0.905021613051447,0.879289594432121,0.95370102292758,0.921891187543788,1.11667622255008,1.05237926648572,0.953309033452614,1.00543475311232,1.26798971893453,1.00389261677286,0.997158479697412,1.05460611989672,0.932481012988251,0.995114076599472,1.12894848212996,1.02365412168729,1.00574257546874,1.05077408195876,1.08071763209105,1.00606978335016,0.982339072854111,1.05466330728349,1.05364522221098,1.06083957901772,1.06701421824839,1.10035156665757,1.13016238347426,1.17933577870635,1.00506085379057,1.11551577115206,1.06479430262508,1.07483089935004,1.13668268296909,1.03921458155162,1.24849261667131,1.18551337945599,1.07827588130349,1.07990384011356,1.23645041434779,1.38218645822769,1.20978438337777,1.24371293644276,1.29939837363281,1.08947199862141,1.16146645445161,1.15855291758174,1.08035603422197,1.08413151634251,1.15930906008436,1.50593848177156,1.13075992397939,1.05609064922206,1.0588571727106,1.06427962038803,1.345047789055,1.11475340001969,1.09263318529975,1.02190463214055,1.14734249173273,1.47820148592875,0.988673177141302,1.11125755669727,1.07243012557117,1.1464177635351,1.05064788914904,1.09596792909727,1.05632918761137,1.01597728745237,1.06543053452356,1.17759901895988,1.19507700526685
Tln1,P26039,TLN1_MOUSE,ENSMUSG00000028465,ENSMUST00000030187,ENSMUSP00000030187,21894,Talin-1,Tln;Tln1,0.710316977744333,0.83472922464089,0.778111503867295,0.797261775761485,0.912922954112919,0.843197203164677,0.772244073977825,0.851095493301481,0.857858623152911,0.762775178049578,0.793577909647043,0.830228629343224,0.90820300856662,0.850990751878627,0.827222261617585,0.77827172386543,0.953418445116557,0.854250038380653,0.885317400820074,0.972544155194271,0.81559500125121,0.785899514350607,0.810075664767363,0.848880129501505,0.814532744704898,0.809153880827979,0.81902553774089,0.794623993494606,0.74881266745393,0.799121565879232,0.894513534347549,0.753001589082901,0.748648431155235,0.786707401630126,0.815334583928857,0.810897936945642,0.799147190622853,0.753729500759944,0.858238693828945,1.07138161042863,0.857933860260321,0.923888279295056,0.779360993428575,0.653190114850086,0.833581830879094,0.876654157696138,0.784973255256472,0.68491598869223,0.806863480296518,0.689337851573291,0.825192668035824,0.798103662128985,0.814714240557072,0.769909006239792,0.790445312015938,0.764523363634197,0.774200836976696,0.796949613063288,0.728674696817863,0.682455293100721,0.821546265009496,0.7489584989099,0.788020411220483,0.856227764451317,0.799806986602128,0.62888407089665,0.776423566626015,0.753543435554944,0.773215353024401,0.649697805356917,0.897425789047028,0.760109022686715,0.825179443846393,0.826204619790169,0.812010861410264,0.684461773184362,0.732821401797834,0.927915629295867,0.823572304563557,0.897688944750487
Tomm70a,Q9CZW5,TOM70_MOUSE,ENSMUSG00000022752,ENSMUST00000166897,ENSMUSP00000129186,28185,Mitochondrial import receptor subunit TOM70,D16Wsu109e;Tomm70a;Tomm70,1.08931191903254,1.16661039629739,1.14586167351096,1.09423960611015,1.14938938994966,1.24256036835123,1.08761531765188,1.38126317469183,1.27887714921804,1.17825399304209,1.08204812663357,1.18821683534794,1.08591762120359,1.31520693058989,1.25146950541455,1.18806693585857,1.10151184445711,1.33566324709528,1.29684930715809,1.32043091905025,1.32994054059095,1.25292176796844,1.31263510401249,1.11789856097384,1.36154622604312,1.13405542092508,1.31978947201923,1.38803895623762,1.38892691589807,1.80155450463069,1.33789898586964,1.53419250621248,1.34606379933682,1.36133516007335,1.39763354122899,1.36287694610909,1.30995265162175,1.1865796729615,1.20456114349419,1.49633481219331,0.840163564590739,0.900536425334928,0.925656441385183,1.03439315924949,0.968535585024528,0.883317466955347,0.925542631774119,0.912453951244073,0.959253467185193,0.999541392181632,0.92770067592025,0.968298472216638,0.84365327329357,0.999986221669616,1.00726713254165,0.87487104687338,0.947588693981037,1.03010540102385,1.04764469657916,0.998580446138665,0.834939664527737,0.934076008481461,0.989141766194396,0.909058773299384,0.998247000733951,0.939241725848465,0.946993616379425,1.02300929076664,1.1316685020357,1.02645670750857,0.971038233191759,1.12754104164568,1.01069169455849,0.935472124703181,1.01701457263762,0.868135989977954,0.885026795671899,0.970060887480093,0.848117965438083,0.85116627126897
Uroc1,Q8VC12,HUTU_MOUSE,ENSMUSG00000034456,ENSMUST00000046128,ENSMUSP00000040424,243537,Urocanate hydratase,NAD(+);Uroc1,0.925256004313794,1.11910135515007,0.99828507478217,0.687606310300507,0.586258232759432,0.839598917798307,0.776867117450017,0.673914327951909,0.618697895593019,0.608698534431195,0.888156255240582,0.790183332008981,0.827316693376573,0.664495473512817,0.693670738833553,0.867079302781734,1.02535935609043,0.603725103349599,0.575491058133979,0.59618948373964,0.735874476227557,0.762560604911334,0.690063967838857,0.559498454062176,0.502942785032364,0.664149393554437,0.695758452446643,0.42738752820186,0.470419312015304,0.556012767468241,0.524542471235755,0.564406836170543,0.534477900361694,0.603742818177896,0.48633937124783,0.715672637278764,0.603349805850924,0.694458418354392,0.659829279109717,0.658841939653771,1.59071169725243,1.61352489169242,1.78388900986089,1.35585917651107,1.1865844977676,1.8089126103195,1.53747104700954,1.15626076080626,1.40202036056027,1.16530034349297,1.67500485191596,1.58059886415454,1.68069656174643,1.21084637511235,1.10427886140155,1.34096185195886,1.35988130891689,1.30732411058051,1.1899501814289,1.0920860964699,1.43464352165489,1.31407555636938,1.2928957968994,0.935894978677984,1.07966447580123,1.37563779077947,1.18985236896327,0.94119780001564,1.03165623542886,0.992690746087283,0.991146052976666,0.986943366445465,0.956833681329282,1.16907328784568,0.945948698691918,1.41008214014843,1.24800595462344,1.23521810759345,1.34535323614572,1.28573082717405
Stip1,Q60864,STIP1_MOUSE,ENSMUSG00000024966,ENSMUST00000025918,ENSMUSP00000025918,20867,Stress-induced-phosphoprotein 1,Stip1,1.1262002142493,1.1301972361464,1.16066941771137,1.18830436312183,1.21861503392142,1.14357908530611,1.22783681555474,1.10026196097646,1.30994792863349,1.17286618059609,1.21281262798094,1.25696457589287,1.23289179551326,1.14018713629524,1.22072875332828,1.08030175330942,1.14201909748925,1.21706309693701,0.995932857750766,1.16631644730568,1.06059460508994,1.20632930756906,1.24864315982427,1.21772696343659,1.24216136876925,1.12566288032317,1.08250791231643,1.21803916629282,1.08795370204136,1.00720647681689,1.02873677371022,1.04548836709782,1.24660200419644,1.07306628475871,1.09303720573026,1.16577488983536,1.07908646911152,1.12879396074757,1.10170430620438,1.06660414088147,0.868581177057438,0.812645098314325,0.856132527476343,0.919710372391141,0.873815229478401,0.918180155725737,0.890384677289557,0.933381818433256,1.00492870624773,0.855681875989979,0.845168246240839,0.876252137166865,0.855443787727074,0.903190960868847,0.860697803134997,0.842207983644522,0.838464891134823,0.853538409276173,0.812009585607061,0.849300941778644,0.869078877082304,0.915881235835904,0.830292034179626,0.905904916777541,0.796610121546066,0.965752554050514,0.892898301406631,0.785314165372449,0.992509429391927,0.813169882834178,0.94400737037121,0.84108689475972,0.867130579810856,0.855643409002638,0.792225251702675,0.724102550498184,0.781191914819837,0.857152181171465,0.837974407168143,0.700278506816959
Dctn1,O08788,DCTN1_MOUSE,ENSMUSG00000031865,ENSMUST00000113919;ENSMUST00000113918,ENSMUSP00000109552;ENSMUSP00000109551,13191,Dynactin subunit 1,2;1;Dctn1,NaN,1.06294815221679,0.988572240880896,NaN,NaN,0.751757343121525,0.801522667342633,NaN,1.56525416932875,NaN,0.93742666436417,1.03051137415125,0.776624615225763,NaN,NaN,NaN,1.22038567986457,NaN,NaN,NaN,NaN,0.837713861141032,1.33159978108447,NaN,NaN,1.01095810309049,0.84165946956067,NaN,1.02348316869114,1.06791264475504,0.755485845091264,0.934898691555722,0.828036035352764,1.09179636883866,0.812956896122733,1.24784752244974,0.985757980627326,0.919935119902302,1.71572321630359,1.81962913852797,1.1389587477819,1.0536010966615,1.27830787443558,NaN,NaN,1.16033477879766,1.49434843351651,NaN,1.72061890235086,NaN,0.893941748894794,NaN,NaN,NaN,NaN,1.01365270004282,1.66657735585147,NaN,NaN,NaN,1.30938778750632,1.05204905966901,NaN,NaN,1.59976795175294,1.54654958821251,1.76356457399749,1.4185802820325,0.908347087755546,1.54672261516989,1.80748740790224,1.61683194562217,1.12832583754626,NaN,1.35951596158884,NaN,NaN,NaN,NaN,1.4887756319752
Eef1g,Q9D8N0,EF1G_MOUSE,ENSMUSG00000071644,ENSMUST00000052248,ENSMUSP00000093955,67160,Elongation factor 1-gamma,Eef1g,0.96350274500649,0.967230784171974,0.96557473114817,0.96756794541055,0.973570812124341,1.08745187086,0.935762414299533,0.992369425300855,1.06826676593557,1.1108681342517,1.04793268318194,1.04086920410933,0.936612559641455,0.914669110399105,0.910512773767887,0.986495996917387,0.936929554184593,0.984665926871698,0.967860966981726,0.997106603016443,0.941338759092969,1.02599864478053,1.0134562551827,1.0064176160975,1.10195332543275,1.06596975188089,0.896614352951561,1.11871157203814,1.0083639056314,1.08033414150458,1.12565622986992,1.10731923010056,1.04908309846137,1.04713626844118,1.14771320241182,1.04263089931402,1.10185140443994,0.944342293035778,0.938924242848441,1.1270467883915,0.877679396687375,0.800978276254671,0.854863175087731,0.782310373861543,0.925513471251882,0.804638991860787,0.88370506613792,0.727955502611417,0.800089227843832,0.820927761145973,0.918375689478768,0.817624039115021,0.839177176521368,0.893955977795858,0.873096388354605,0.83164230723192,0.847547132542522,0.890941818316166,0.872110142967306,0.879007363567555,0.786933852365695,0.888423898998232,0.872362929177774,0.870814651540629,1.22461758935482,0.908581319362646,0.772671672282787,0.822969903216788,0.945270441474198,0.907275538510619,0.866665796347399,0.95837808694678,0.868854829879283,0.862472858451057,0.996593905718081,0.873661145206286,0.810178205903031,0.885169788781642,0.807293398321662,0.842879812786029
Copb1,Q9JIF7,COPB_MOUSE,ENSMUSG00000030754,ENSMUST00000033012,ENSMUSP00000033012,70349,Coatomer subunit beta,Copb;Copb1,0.977173002059678,0.860592070643416,0.860119599974639,1.05587301669039,0.845616311693388,1.05407691363498,0.942820678313737,1.0068747152417,0.962896532796938,0.915728610326016,0.867670748971924,0.936410720712484,0.9506050794508,0.839923126923252,0.86419457883492,1.00077111859191,0.883765849477688,0.921331924161625,0.871864318563751,0.91849049287673,1.04559270360537,0.83788916274917,0.905901558332374,0.527092520588943,0.859806798299944,1.03601617336145,0.908944296553827,0.98502784572251,0.770976450708177,0.766833606973165,0.765590780745664,0.804983101616266,0.78947181798353,0.802174285440812,0.796322351084318,0.908876514719506,0.970679495796288,0.812216276903862,0.916502786622821,0.865679810378843,0.724899492191111,0.823919533140008,0.842441775891253,0.761605892089921,0.832443329476882,0.828749196626725,0.818581814190255,0.957500263730564,0.865454944231822,0.899687994111603,0.742735848676629,0.721266149173155,0.758795926206809,0.902251093338542,0.984459663847929,0.903261886263391,0.877111825205194,0.902035409995291,0.626622059201765,0.578257235105619,0.911292633878701,0.806278352479942,0.989514015470418,0.905971038449131,0.871507343297408,0.829291630182903,0.947065834040443,0.870776681369159,0.709549757190255,0.94558581082704,0.755184988222045,0.742954624993857,0.5733526205659,0.429910586343697,0.796029688690745,0.876307858384518,0.805797286003675,0.849424878748687,0.717583594680914,0.6571140556196
